Class       ; Proficiencies Gained

Dreadnought ; Shields, simple weapons, martial weapons
Bard        ; Light armor, one skill of your choice, one musical instrument of your choice
Cleric      ; Light armor, medium armor, shields
Primal      ; Light armor, medium armor, shields (Primals will not wear armor or use shields made of metal)
Fighter     ; Light armor, medium armor, shields, simple weapons, martial weapons
Adept       ; Simple weapons, shortswords
Vanguard    ; Light armor, medium armor, shields, simple weapons, martial weapons
Ranger      ; Light armor, medium armor, shields, simple weapons, martial weapons, one skill from the class’s skill list
Rogue       ; Light armor, one skill from the class’s skill list, thieves’ tools
Sorcerer    ; —
Warlock     ; Light armor, simple weapons
Wizard      ; —
